Serial,Accident ID,Lat,Long,Day of week,Date in month,Month,Year,Date,Time,Time(12h),Relative Wealth Index
22,1.7E+14,23.75066133,90.44090785,6,4,2,17,2017-02,150,3:30 PM,1.155
23,1.7E+14,23.73749767,90.40421822,1,22,5,17,2017-05,1230,9:05 AM,1.514
24,1.7E+14,23.74618076,90.39556083,7,30,4,17,2017-04,500,2:30 PM,1.763
25,1.7E+14,23.75346919,90.40075122,3,17,5,17,2017-05,500,12:00 PM,1.763
26,1.7E+14,23.74524522,90.40448093,1,18,9,17,2017-09,500,7:10 AM,1.763
27,1.7E+14,23.7744314,90.36600494,1,18,9,17,2017-09,930,9:30 AM,1.305
28,1.7E+14,23.76803415,90.42014,3,29,11,17,2017-11,415,3:30 PM,1.185
29,1.7E+14,23.76802766,90.42035551,4,10,8,17,2017-08,1800,5:35 PM,1.185
30,1.7E+14,23.76417881,90.37083778,1,6,2,17,2017-02,600,11:35 AM,1.195
31,1.7E+14,23.77908616,90.37088445,3,5,4,17,2017-04,0:30,12:30 AM,1.305
32,1.7E+14,23.76414886,90.37072984,6,20,5,17,2017-05,18:00,6:00 PM,1.195
33,1.7E+14,23.76428929,90.37080128,4,1,6,17,2017-06,19:45,7:45 PM,1.195
34,1.7E+14,23.77925739,90.37113252,6,1,7,17,2017-07,12:30,12:30 PM,1.305
35,1.7E+14,23.72292741,90.41035213,4,15,6,17,2017-06,14:00,2:00 PM,1.256
36,1.7E+14,23.7115733,90.40319472,6,24,6,17,2017-06,19:30,7:30 PM,1.256
37,1.7E+14,23.71980244,90.38877534,6,30,12,17,2017-12,7:00,7:00 AM,1.33
38,1.7E+14,23.70644312,90.41046716,3,22,2,17,2017-02,12:30,12:30 PM,1.256
39,1.7E+14,23.71097581,90.4314069,3,8,2,17,2017-02,23:10,11:10 PM,1.273
40,1.7E+14,23.73019436,90.41015339,6,29,4,17,2017-04,6:30,6:30 AM,1.514
41,1.7E+14,23.73008548,90.41014507,6,13,5,17,2017-05,19:15,7:15 PM,1.514
42,1.7E+14,23.73472931,90.41080648,2,4,7,17,2017-07,0:35,12:35 AM,1.514
43,1.7E+14,23.72476532,90.41285075,1,10,7,17,2017-07,7:45,7:45 AM,1.256
44,1.7E+14,23.72815545,90.40375143,7,13,8,17,2017-08,9:15,9:15 AM,1.514
45,1.7E+14,23.72793862,90.42035609,1,28,8,17,2017-08,14:45,2:45 PM,1.347
46,1.7E+14,23.73523342,90.41706176,3,27,12,17,2017-12,2:20,2:20 AM,1.514
47,1.7E+14,23.78955042,90.40669882,7,9,7,17,2017-07,15:30,3:30 PM,0.978
48,1.7E+14,23.84718815,90.41116242,2,19,9,17,2017-09,20:00,8:00 PM,1.051
